mes,tur
01/07/2011,4100907
01/08/2011,5278766
01/09/2011,3000853
01/10/2011,1961301
01/11/2011,424958
01/12/2011,1771299
01/01/2012,2695331
01/02/2012,2684306
01/03/2012,1921994
01/04/2012,1535127
01/05/2012,1508360
01/06/2012,2287706
01/07/2012,4096335
01/08/2012,5361627
01/09/2012,3061083
01/10/2012,1933134
01/11/2012,453706
01/12/2012,1870875
01/01/2013,2477022
01/02/2013,2693165
01/03/2013,2353525
01/04/2013,1021312
01/05/2013,1655956
01/06/2013,2088941
01/07/2013,4010952
01/08/2013,5420538
01/09/2013,3030336
01/10/2013,1917100
01/11/2013,436787
01/12/2013,1919982
01/01/2014,2469229
01/02/2014,2433904
01/03/2014,2317457
01/04/2014,1314187
01/05/2014,1307040
01/06/2014,2342451
01/07/2014,3779956
01/08/2014,5219875
01/09/2014,2995737
01/10/2014,1945330
01/11/2014,382891
01/12/2014,1929832
01/01/2015,2507056
01/02/2015,2737795
01/03/2015,2045126
01/04/2015,1398287
01/05/2015,1584852
01/06/2015,2268917
01/07/2015,4064695
01/08/2015,5397570
01/09/2015,3103979
01/10/2015,1866043
01/11/2015,527625
01/12/2015,1973300
01/01/2016,2604450
01/02/2016,2847803
01/03/2016,2777072
01/04/2016,955205
01/05/2016,1910260
01/06/2016,2248902
01/07/2016,4419674
01/08/2016,5665003
01/09/2016,3249056
01/10/2016,2239188
01/11/2016,518582
01/12/2016,1917400
01/01/2017,2644493
01/02/2017,2722347
01/03/2017,2287351
01/04/2017,1695970
01/05/2017,1473158
01/06/2017,2907091
01/07/2017,4617988
01/08/2017,5770401
01/09/2017,3343286
01/10/2017,2314290
01/11/2017,579724
01/12/2017,2084004
